Tang et al./VCS (Verra) ID Number,Country,Name of Project,Observed Post-REDD+ annual average forest area loss,SC Post-REDD+ annual average forest area loss,Difference Annual  (ha),Observed Post-REDD+ cumulative forest loss area,SC Post-REDD+ cumulative forest loss area,Difference Cumulative (ha),Significance 
875,Brazil,Florestal Santa Maria Project,53.11,97.44,-44.33,743.49,1364.12,-620.63,No
963,Brazil,The Purus Project,210.65,210.08,0.57,2527.83,2520.94,6.89,No
977,Brazil,RMDLT Portel–Pará REDD Project,242.02,1874.99,-1632.97,3388.14,26249.8,-22861.66,
981,Brazil,Pacajai REDD+ Project,516.34,2289.87,-1773.53,7228.71,32058.16,-24829.45,
1112,Brazil,The Russas Project,50.28,42.24,8.04,603.36,506.92,96.44,No
1113,Brazil,The Valparaiso Project,76.94,102.87,-25.93,923.22,1234.42,-311.2,Yes
1115,Brazil,Jari/Amapá REDD+ Project,176.21,85.87,90.34,2114.46,1030.38,1084.08,Yes
1118,Brazil,Suruí Forest Carbon Project,381.13,56.29,324.84,5335.83,788.12,4547.71,Yes
1329,Brazil,Maísa REDD+ Project,137.07,667.55,-530.48,1507.77,7343.09,-5835.32,Yes
1503,Brazil,REDD+ Resex Rio Preto–Jacundá Project,1223.89,639.88,584.01,13462.74,7038.73,6424.01,No
1571,Brazil,Manoa REDD+ Project,84.52,360.15,-275.63,845.19,3601.46,-2756.27,No
1654,Brazil,Fortaleza Ituxi REDD Project,20.89,453.95,-433.06,208.89,4539.49,-4330.6,No
1686,Brazil,Agrocortex REDD Project,167.37,25.34,142.03,1506.33,228.09,1278.24,No
2252,Brazil,Rio Anapu-Pacaja REDD Project,223.64,661.32,-437.68,1565.46,4629.21,-3063.75,No
2373,Brazil,Yellow Ipê Grouped REDD Project,27.51,13.48,14.03,82.53,40.46,42.07,
2508,Brazil,Unitor REDD+ Project,211.58,625.23,-413.65,1057.86,3126.12,-2068.26,
2539,Brazil,Evergreen REDD+ Project,10.62,29.15,-18.53,31.86,87.44,-55.58,Yes
2558,Brazil,ABC Norte REDD Project,144.86,770.17,-625.31,869.13,4621.02,-3751.89,Yes
2566,Brazil,The Serra do Amolar REDD+ Project,3544.13,1119.65,2424.48,24682.86,7837.55,16845.31,
856,Colombia,The Chocó–Darién Conservation Corridor REDD Project,26.38,45.28,-18.9,342.9,588.58,-245.68,No
1389,Colombia,Acapa – Bajo Mira y Frontera REDD+ Project,44.67,16.21,28.46,446.67,162.13,284.54,
1390,Colombia,Carmen del Darién (CDD) REDD+ Project,259.68,64.8,194.88,2337.12,583.18,1753.94,No
1391,Colombia,Sivirú–Usaragá–Pizarro–Pilizá (SUPP) REDD+ Project,19.53,6.19,13.34,195.3,61.92,133.38,No
1392,Colombia,Cajambre REDD+ Project,3.53,2.83,0.7,35.28,28.27,7.01,No
1395,Colombia,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,33.09,60.32,-27.23,330.93,603.21,-272.28,Yes
1396,Colombia,Rio Pepe y ACABA REDD+ Project,16.54,26.71,-10.17,148.86,240.35,-91.49,Yes
1399,Colombia,Mutatá REDD+ Project,13.57,13.28,0.29,135.72,132.75,2.97,No
1400,Colombia,Conscosta REDD+ Project,8.21,2.73,5.48,82.08,27.3,54.78,Yes
1566,Colombia,REDD+ Project Resguardo Indígena Unificado Selva de Matavén (RIU SM),974.75,772.28,202.47,9747.45,7722.79,2024.66,Yes
2723,Colombia,Condoto REDD+ Project,42.39,39.75,2.64,169.56,159,10.56,No
844,Peru,Madre de Dios Amazon REDD+ Project,54.03,24.84,29.19,756.45,347.7,408.75,Yes
944,Peru,Alto Mayo Conservation Initiative,271.42,737.57,-466.15,4071.33,11063.54,-6992.21,Yes
958,Peru,Biocorredor Martin Sagrado REDD+ Project,259.16,531.4,-272.24,3369.06,6908.15,-3539.09,No
985,Peru,Cordillera Azul National Park REDD Project,478.46,650.58,-172.12,7176.96,9758.73,-2581.77,Yes
1067,Peru,Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja- Sonene National Park within the area of Madre de Dios region –Peru,261.42,384.13,-122.71,3398.49,4993.68,-1595.19,No
1218,Peru,"Evio Kuiñaji Ese´Eja Cuana, To Mitigate Climate Change, Madre de Dios - Perú",15.06,64.33,-49.27,180.72,771.97,-591.25,No
1360,Peru,Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region,1088.28,436.01,652.27,14147.64,5668.12,8479.52,
1799,Peru,"Forest Management to Mitigate Climate Change in Native Community of Bélgica, Madre de Dios Region -- Peru",85.8,60.08,25.72,514.8,360.48,154.32,No
1882,Peru,REDD+ Project in the Alto Huayabamba Conservation Concession (CCAH),19.85,48.59,-28.74,198.54,485.87,-287.33,Yes
2278,Peru,The Jaguar Amazon REDD+ Project,67.5,52.08,15.42,337.5,260.4,77.1,No
2502,Peru,Tahuamanu Amazon REDD Project,254.03,242.87,11.16,1524.15,1457.23,66.92,No
2510,Central African Republic,Chinko Conservation Area REDD+ Project,13.01,28.87,-15.86,91.08,202.12,-111.04,No
934,Democratic Republic of Congo,The Mai Ndombe REDD+ Project,1139.81,1155.09,-15.28,13677.75,13861.12,-183.37,No
1311,Madagascar,Carbon Emissions Reduction Project in the Corridor Ankeniheny–Zahamena (CAZ),3520.28,1980.88,1539.4,56324.52,31694.13,24630.39,Yes
1674,Mozambique,Gilé National Reserve REDD Project,617.24,1180.88,-563.64,6789.69,12989.67,-6199.98,Yes
1201,Sierra Leone,Gola REDD Project,10.73,1067.59,-1056.86,117.99,11743.54,-11625.55,Yes
